alcool,acidez_volatil,sulfatos,acido_citrico,qualidade_vinho
9.5,0.4,0.91,0.3,6
10.0,1.0,0.46,0.0,5
10.3,0.765,0.6,0.18,6
10.3,0.635,0.59,0.17,6
10.5,0.43,0.61,0.3,5
9.8,0.52,0.6,0.03,5
9.4,0.57,0.6,0.0,6
9.8,0.46,0.65,0.14,5
10.0,0.82,0.53,0.05,5
9.8,0.46,0.65,0.14,5
9.8,0.59,0.59,0.01,5
9.5,0.35,0.5,0.41,5
9.5,0.35,0.5,0.41,5
10.1,0.56,0.56,0.24,6
10.1,0.56,0.56,0.24,6
9.3,0.63,0.52,0.17,5
9.7,0.37,0.68,0.43,6
9.6,0.64,0.54,0.17,5
9.7,0.61,0.6,0.02,6
10.8,0.6,0.56,0.0,5
12.5,0.27,0.53,0.54,6
10.2,0.89,1.18,0.3,5
9.6,0.46,0.74,0.31,5
10.8,0.37,0.81,0.44,7
10.7,0.5,0.52,0.34,6
10.7,0.5,0.52,0.34,6
9.4,0.61,0.51,0.08,5
10.0,0.55,0.44,0.09,5
12.9,0.585,0.94,0.0,7
9.6,0.56,0.66,0.08,6
9.9,0.52,0.57,0.22,6
12.8,0.28,0.7,0.4,7
12.5,0.25,0.71,0.39,7
12.8,0.28,0.7,0.4,7
9.2,0.53,0.86,0.12,5
10.3,0.48,0.55,0.31,6
10.5,0.49,0.47,0.1,5
10.9,0.5,0.68,0.55,6
10.8,0.45,0.71,0.33,5
11.4,0.39,0.58,0.24,4
11.3,0.41,0.76,0.54,6
10.8,0.45,0.71,0.33,5
10.5,0.51,0.58,0.19,6
11.9,0.29,0.73,0.42,6
9.4,0.715,0.45,0.0,5
9.6,0.66,0.54,0.15,5
9.7,0.685,0.6,0.0,5
14.0,0.42,0.74,0.0,7
9.8,0.54,0.64,0.13,5
9.8,0.54,0.64,0.13,5
10.3,0.48,0.53,0.28,5
10.7,0.46,0.49,0.14,5
11.0,0.27,0.64,0.34,7
10.7,0.46,0.49,0.14,5
12.7,0.57,0.74,0.09,8
11.1,0.61,0.77,0.08,6
10.9,0.685,0.55,0.07,4
11.1,0.61,0.77,0.08,6
9.9,0.44,0.86,0.42,3
9.9,0.47,0.86,0.44,4
9.4,0.685,0.47,0.26,5
9.3,0.665,0.51,0.1,5
11.7,0.28,0.39,0.28,7
11.7,0.28,0.39,0.28,7
11.2,0.31,0.83,0.35,7
10.0,0.5,0.47,0.04,5
12.1,0.42,0.77,0.47,7
10.3,0.66,0.63,0.0,5
10.9,0.5,0.72,0.45,6
9.4,0.685,0.62,0.35,5
10.6,0.25,0.83,0.46,6
9.8,0.64,0.66,0.21,5
9.8,0.64,0.66,0.21,5
9.9,0.68,0.7,0.16,6
9.8,0.64,0.66,0.21,5
9.8,0.63,0.66,0.21,5
9.5,0.43,0.55,0.44,5
9.5,0.43,0.55,0.44,5
9.7,0.42,1.07,0.32,5
10.9,0.36,0.73,0.39,6
10.9,0.36,0.73,0.39,6
11.7,0.735,0.71,0.02,7
10.9,0.36,0.73,0.39,6
11.3,0.26,0.78,0.34,7
10.6,0.28,0.67,0.47,7
11.2,0.56,0.82,0.22,6
9.5,0.62,0.54,0.06,5
11.5,1.01,0.6,0.66,6
10.4,0.42,0.44,0.32,5
9.7,0.62,0.53,0.06,5
9.5,0.62,0.54,0.06,5
9.7,0.635,0.54,0.07,5
11.3,0.49,0.83,0.22,6
11.2,0.51,0.84,0.23,6
11.2,0.56,0.82,0.22,6
10.9,0.63,0.64,0.03,6
11.8,0.715,0.57,0.01,6
10.6,0.56,0.57,0.03,5
10.0,0.35,0.54,0.24,4
11.1,0.21,0.58,0.37,7
11.8,0.38,0.65,0.46,7
11.8,0.31,0.79,0.4,7
10.9,0.47,0.58,0.0,4
11.8,0.715,0.57,0.01,6
10.0,0.61,0.5,0.19,6
9.5,0.6,0.55,0.04,5
9.9,0.56,0.49,0.18,5
11.4,0.715,0.65,0.0,6
12.0,0.31,0.78,0.29,6
9.5,0.6,0.55,0.04,5
10.0,0.61,0.5,0.19,6
10.5,0.75,0.64,0.14,5
10.4,0.8,0.65,0.12,6
12.1,0.52,0.79,0.38,7
11.2,0.57,0.56,0.0,6
9.3,0.9,0.68,0.34,5
10.1,0.34,0.58,0.24,5
9.7,0.66,0.57,0.03,5
9.3,0.45,0.65,0.23,6
9.7,0.66,0.57,0.03,5
9.8,0.63,0.58,0.03,6
10.7,0.59,0.58,0.01,6
12.5,0.31,0.77,0.39,7
10.7,0.59,0.58,0.01,6
12.5,0.31,0.77,0.39,7
11.0,1.02,0.49,0.02,3
11.8,0.31,0.69,0.36,5
10.8,0.635,0.69,0.1,7
10.8,0.635,0.69,0.1,7
10.8,0.59,0.59,0.06,7
10.8,0.59,0.59,0.06,7
9.5,0.58,0.59,0.2,5
11.0,0.54,0.71,0.27,5
11.5,0.56,0.54,0.0,6
10.8,0.52,0.59,0.13,6
11.5,0.305,0.52,0.39,6
13.2,0.38,0.57,0.48,6
10.9,0.28,0.6,0.46,6
12.2,0.46,0.62,0.44,6
12.2,0.395,0.64,0.46,7
11.5,0.305,0.52,0.39,6
11.9,0.315,0.67,0.4,6
11.0,0.715,0.61,0.19,5
10.1,0.41,0.64,0.31,6
11.0,0.36,0.72,0.32,6
11.8,0.62,0.89,0.12,6
10.5,0.41,0.56,0.37,5
11.0,0.36,0.72,0.32,6
11.8,0.62,0.89,0.12,6
10.1,0.41,0.64,0.31,6
11.2,0.47,0.8,0.27,5
11.0,0.22,0.87,0.36,7
10.2,0.24,0.9,0.33,6
9.2,0.67,0.59,0.19,4
11.2,0.47,0.8,0.27,5
12.0,0.33,0.73,0.38,7
10.5,0.61,0.73,0.01,5
9.8,0.61,0.65,0.01,5
9.5,0.4,0.59,0.29,6
9.8,0.61,0.65,0.01,5
10.5,0.61,0.73,0.01,5
11.8,0.3,0.72,0.38,6
11.8,0.3,0.72,0.38,6
10.4,0.63,0.6,0.5,4
12.9,0.38,0.72,0.38,7
11.4,0.46,0.54,0.17,5
12.4,0.33,0.76,0.52,7
12.5,0.27,0.52,0.49,7
10.0,0.43,0.64,0.4,7
9.7,0.5,0.6,0.34,7
12.1,0.3,0.64,0.49,7
11.1,0.44,0.79,0.42,7
12.0,0.44,0.99,0.58,7
12.4,0.28,0.62,0.48,7
11.9,0.12,0.76,0.45,7
11.9,0.12,0.76,0.45,7
11.9,0.12,0.76,0.45,7
12.4,0.28,0.62,0.48,7
11.2,0.31,0.68,0.4,7
12.1,0.34,0.69,0.48,7
12.2,0.43,0.54,0.4,6
10.4,0.21,0.67,0.52,5
11.3,0.36,0.62,0.52,6
11.1,0.37,0.58,0.52,6
11.3,0.57,0.71,0.12,7
10.0,0.59,0.61,0.05,5
11.1,0.47,0.85,0.27,6
9.3,0.56,0.62,0.14,5
9.5,0.57,0.69,0.02,5
11.2,0.27,0.69,0.39,6
11.1,0.47,0.85,0.27,6
11.0,0.34,0.86,0.4,6
11.9,0.38,0.58,0.41,7
9.2,0.66,0.48,0.2,5
12.2,0.4,0.6,0.43,6
10.2,0.56,0.61,0.09,5
10.9,0.26,0.87,0.48,6
10.9,0.26,0.87,0.48,6
11.6,0.38,0.65,0.5,7
10.7,0.34,0.63,0.44,5
12.1,0.33,0.62,0.41,7
9.4,0.41,0.52,0.3,5
9.4,0.41,0.52,0.3,5
9.1,0.59,0.5,0.29,5
11.3,0.4,0.49,0.32,7
10.4,0.45,0.63,0.49,5
10.5,0.5,0.71,0.3,6
10.0,0.86,0.62,0.26,5
12.9,0.52,0.82,0.32,6
10.5,0.5,0.71,0.3,6
10.4,0.45,0.63,0.49,5
11.3,0.58,0.58,0.0,6
11.4,0.34,0.55,0.39,7
9.4,0.36,0.5,0.3,5
9.4,0.39,0.49,0.12,5
10.9,0.295,0.51,0.4,6
9.4,0.39,0.49,0.12,5
9.4,0.34,0.48,0.28,5
9.4,0.4,0.48,0.1,6
9.4,0.34,0.48,0.28,5
9.4,0.35,0.43,0.45,5
10.1,0.6,0.62,0.06,6
12.8,0.66,0.63,0.0,7
12.8,0.66,0.63,0.0,7
9.1,0.84,0.48,0.34,6
12.9,0.69,0.53,0.0,6
11.5,0.43,0.72,0.3,7
10.6,0.35,0.82,0.38,7
11.7,0.29,0.84,0.33,7
12.8,0.36,0.55,0.32,7
10.3,0.43,0.54,0.29,5
12.8,0.36,0.55,0.32,7
11.7,0.29,0.84,0.33,7
11.7,0.3,0.84,0.34,7
12.0,0.35,0.7,0.4,7
10.9,0.5,0.68,0.36,5
12.3,0.28,0.55,0.45,7
10.4,0.32,0.55,0.31,6
10.0,1.005,0.48,0.15,5
10.0,0.71,0.58,0.0,6
11.2,0.58,0.58,0.16,6
11.4,0.39,0.84,0.46,6
12.6,0.38,0.75,0.4,7
12.7,0.18,0.44,0.37,6
12.7,0.18,0.44,0.37,6
10.4,0.5,0.61,0.14,5
11.9,0.36,0.53,0.66,6
11.9,0.36,0.53,0.66,6
10.5,0.51,0.54,0.09,5
12.3,0.32,0.55,0.42,6
10.5,0.58,0.56,0.01,7
10.4,0.83,0.6,0.0,6
12.6,0.31,0.56,0.32,6
11.6,0.795,0.52,0.0,5
10.1,0.34,0.54,0.21,6
10.5,0.58,0.56,0.01,7
11.5,0.59,0.55,0.0,7
11.0,0.55,0.58,0.01,7
9.6,0.82,0.53,0.0,5
10.4,0.57,0.59,0.08,6
9.7,0.745,0.47,0.18,6
10.6,0.37,0.65,0.34,7
12.5,0.31,0.59,0.34,7
9.2,0.91,0.56,0.1,5
12.6,0.41,0.77,0.41,7
11.1,0.5,0.83,0.21,6
10.2,0.965,0.67,0.0,5
9.8,0.49,0.64,0.19,6
11.1,0.5,0.83,0.21,6
10.9,0.39,0.81,0.41,7
12.2,0.39,0.62,0.33,6
11.4,0.44,0.58,0.0,6
10.7,0.78,0.62,0.0,6
10.4,0.43,0.64,0.17,5
10.9,0.49,0.78,0.36,6
10.8,0.5,0.77,0.36,6
10.4,0.43,0.64,0.17,5
9.2,0.46,1.34,0.59,5
12.9,0.605,0.55,0.05,5
12.7,0.33,0.77,0.42,7
9.1,0.64,0.62,0.27,6
9.1,0.64,0.62,0.27,6
12.1,0.48,0.59,0.53,7
9.1,0.42,0.57,0.25,5
11.6,0.53,0.76,0.57,7
12.1,0.48,0.59,0.53,7
9.9,0.23,0.7,0.57,6
12.5,0.4,0.69,0.5,8
11.4,0.38,0.64,0.44,6
11.8,0.29,0.63,0.65,6
11.8,0.74,0.57,0.09,6
10.2,0.61,0.6,0.18,6
12.5,0.52,0.72,0.08,7
10.9,0.31,0.83,0.53,7
10.9,0.31,0.83,0.53,7
10.8,0.62,0.62,0.35,5
11.1,0.33,0.89,0.45,7
9.2,0.77,0.58,0.2,5
9.5,0.35,0.58,0.26,6
10.7,0.62,0.58,0.33,6
9.2,0.77,0.58,0.2,5
10.2,0.25,0.86,0.34,7
11.4,0.32,0.73,0.56,6
11.0,0.37,0.58,0.65,5
11.0,0.37,0.58,0.65,5
12.3,0.3,0.51,0.68,7
11.8,0.27,0.51,0.56,6
12.3,0.3,0.51,0.68,7
9.5,0.38,0.59,0.3,6
12.0,0.42,0.77,0.45,6
9.5,0.38,0.59,0.3,6
9.6,0.48,0.49,0.08,5
11.6,0.34,0.66,0.4,7
11.2,0.19,0.69,0.42,6
9.9,0.41,0.76,0.54,7
9.9,0.41,0.76,0.54,7
11.8,0.26,0.63,0.54,8
11.4,0.34,0.6,0.42,6
11.5,0.54,0.59,0.09,6
12.0,0.31,0.86,0.36,7
10.8,0.725,0.49,0.09,6
10.5,0.4,0.5,0.47,5
10.8,0.725,0.49,0.09,6
9.4,0.52,0.52,0.38,5
12.5,0.31,0.81,0.45,7
9.4,0.52,0.52,0.38,5
12.4,0.34,0.78,0.42,6
12.0,0.49,0.63,0.27,6
11.2,0.48,0.54,0.09,6
12.0,0.49,0.63,0.27,6
12.4,0.48,0.66,0.34,6
12.8,0.57,0.6,0.28,5
12.3,0.23,0.54,0.42,6
11.7,0.3,0.85,0.41,7
9.5,0.78,0.49,0.1,5
10.8,0.47,0.76,0.43,6
10.0,0.53,0.64,0.0,6
12.3,0.42,0.64,0.27,7
11.0,0.33,0.71,0.41,6
9.5,0.24,0.59,0.39,6
13.6,0.4,0.66,0.5,6
11.3,0.69,0.6,0.07,6
11.3,0.69,0.6,0.07,6
11.3,0.69,0.6,0.07,6
13.3,0.39,0.53,0.12,6
12.9,0.66,0.58,0.0,5
13.1,0.54,0.72,0.34,8
12.3,0.5,0.55,0.0,6
12.3,0.47,0.48,0.0,6
11.2,0.4,0.65,0.37,6
11.5,0.58,0.62,0.0,4
11.3,0.24,0.59,0.35,7
13.5,0.29,0.54,0.26,6
11.5,0.76,0.6,0.0,6
10.0,0.43,0.68,0.33,5
10.5,0.43,0.69,0.35,6
10.4,0.6,0.63,0.0,6
9.5,0.19,0.44,0.21,5
13.6,0.36,0.88,0.34,7
11.2,0.48,0.68,0.07,7
11.8,0.28,0.74,0.35,7
11.9,0.25,0.6,0.43,6
11.4,0.52,0.76,0.45,6
11.4,0.52,0.76,0.45,6
9.1,0.41,0.58,0.15,5
9.5,0.51,0.64,0.24,6
9.5,0.4,0.65,0.3,6
11.0,0.38,0.85,0.32,6
11.4,0.45,0.65,0.11,6
10.0,0.22,0.82,0.3,6
10.1,0.32,0.62,0.23,5
10.4,0.2,0.81,0.43,6
9.8,0.5,0.87,0.12,6
11.8,0.41,0.49,0.45,7
11.6,0.39,0.66,0.42,6
12.0,0.35,0.52,0.47,6
12.8,0.33,0.76,0.32,7
12.5,0.58,0.65,0.23,6
9.8,0.6,0.53,0.25,5
11.1,0.42,0.66,0.35,6
11.4,0.58,0.68,0.0,6
9.8,0.6,0.53,0.25,5
11.8,0.18,0.76,0.51,7
12.9,0.51,0.87,0.18,7
10.6,0.41,1.16,0.43,6
10.8,0.41,0.67,0.43,5
11.1,0.36,0.72,0.57,7
10.2,0.45,0.75,0.43,6
11.8,0.32,0.71,0.42,7
10.0,0.785,0.67,0.24,5
10.0,0.785,0.67,0.24,5
9.4,0.44,1.1,0.5,5
10.2,0.54,0.98,0.26,5
12.4,0.33,0.88,0.39,7
12.0,0.34,0.56,0.27,6
11.5,0.5,0.62,0.29,6
10.5,0.36,0.67,0.34,6
10.8,0.59,0.68,0.0,6
12.3,0.42,0.74,0.46,6
9.5,0.36,0.62,0.31,6
9.5,0.36,0.62,0.31,6
11.5,0.61,0.7,0.0,6
11.2,0.88,0.5,0.03,4
12.7,0.66,0.66,0.0,7
11.4,0.915,0.73,0.0,5
11.0,0.35,0.81,0.33,6
11.0,0.35,0.81,0.33,6
11.4,0.39,0.46,0.43,5
10.5,0.4,0.86,0.4,6
9.3,0.66,0.6,0.07,5
10.9,0.64,0.7,0.23,5
11.9,0.43,0.46,0.3,6
12.2,0.8,0.5,0.03,5
11.9,0.43,0.46,0.3,6
10.9,0.64,0.7,0.23,5
9.6,0.955,0.44,0.05,4
12.5,0.4,0.57,0.57,6
10.8,0.885,0.51,0.0,5
12.4,0.25,0.8,0.37,7
10.8,0.885,0.51,0.0,5
9.5,0.745,0.59,0.12,6
9.5,0.43,0.6,0.22,6
9.5,0.58,0.58,0.23,6
9.8,0.57,0.54,0.21,6
10.9,0.26,0.79,0.26,6
9.5,0.58,0.58,0.23,6
9.8,0.57,0.54,0.21,6
11.2,0.34,0.54,0.36,7
11.7,0.42,0.69,0.39,8
9.4,0.74,0.55,0.19,5
11.0,0.36,0.85,0.46,7
11.0,0.36,0.85,0.46,7
11.0,0.36,0.85,0.46,7
10.0,0.72,0.94,0.55,5
11.0,0.36,0.85,0.46,7
11.2,0.39,0.87,0.43,7
10.4,0.65,0.62,0.02,6
9.3,0.44,0.62,0.15,5
10.4,0.65,0.62,0.02,6
10.5,0.38,0.75,0.42,6
10.4,0.33,0.48,0.46,6
11.3,0.27,0.56,0.46,6
9.5,0.57,0.69,0.31,6
12.0,0.34,0.81,0.37,6
10.6,0.4,0.69,0.31,6
10.9,0.39,0.83,0.4,6
11.5,0.32,0.77,0.52,6
11.5,0.32,0.77,0.52,6
9.6,0.53,0.46,0.22,6
12.0,0.36,0.76,0.47,6
10.3,0.39,0.82,0.49,6
9.4,0.46,0.51,0.23,5
9.2,0.58,0.47,0.03,5
9.6,0.58,0.72,0.25,5
13.6,0.42,0.73,0.0,7
9.5,0.43,0.64,0.29,5
11.8,0.18,0.78,0.34,6
10.8,0.815,0.62,0.01,5
9.5,0.43,0.64,0.29,5
9.3,0.23,0.49,0.37,4
12.8,0.75,0.4,0.01,6
11.5,0.33,0.56,0.32,4
9.4,0.55,0.64,0.0,6
12.8,0.75,0.4,0.01,6
9.6,0.73,0.46,0.0,4
11.8,0.67,0.56,0.0,4
9.3,0.61,0.4,0.2,5
9.8,0.37,0.59,0.39,5
12.2,0.4,0.6,0.41,6
9.5,0.56,0.62,0.22,5
10.3,0.29,0.54,0.25,6
10.5,0.55,0.68,0.19,5
10.0,0.74,0.48,0.07,5
10.5,0.55,0.68,0.19,5
11.1,0.41,0.75,0.33,6
10.9,0.6,0.61,0.01,6
10.9,0.6,0.61,0.01,6
9.8,0.58,0.59,0.14,5
9.8,0.72,0.58,0.0,5
9.5,0.66,0.58,0.0,5
10.9,0.7,0.69,0.06,5
11.0,0.64,0.45,0.02,5
9.2,0.59,0.42,0.22,5
11.0,0.58,0.7,0.28,6
11.3,0.64,0.63,0.0,6
11.3,0.64,0.63,0.0,6
9.3,0.635,1.15,0.68,5
11.2,1.02,0.55,0.0,4
9.8,0.45,0.58,0.38,5
9.6,0.78,0.46,0.0,4
11.8,0.37,0.72,0.32,6
10.3,0.57,0.6,0.05,6
10.3,0.57,0.6,0.05,6
11.4,0.43,0.87,0.5,6
9.5,0.41,0.55,0.31,6
14.0,0.49,0.82,0.03,8
14.0,0.38,0.75,0.01,6
11.7,0.44,0.57,0.2,6
11.2,0.46,0.53,0.0,5
9.3,0.58,0.43,0.2,5
11.2,0.58,0.53,0.13,6
9.5,0.715,0.54,0.22,6
12.0,0.4,0.56,0.4,4
9.7,0.69,0.6,0.0,6
9.5,0.715,0.54,0.22,6
11.5,0.3,0.57,0.39,7
10.4,0.46,0.64,0.2,6
10.4,0.46,0.64,0.2,6
10.9,0.765,0.68,0.0,6
10.2,0.63,0.63,0.28,6
10.9,0.42,0.56,0.19,5
10.5,0.37,0.57,0.5,5
12.4,0.16,0.54,0.44,6
13.0,0.6,0.37,0.08,5
10.2,0.6,1.17,0.3,5
10.2,0.6,1.17,0.3,5
11.0,0.74,0.59,0.0,5
10.9,0.635,0.75,0.1,6
12.4,0.395,0.67,0.13,6
9.7,0.755,0.49,0.0,4
10.9,0.635,0.75,0.1,6
9.5,0.63,0.45,0.0,5
9.5,0.63,0.45,0.0,5
12.1,0.53,0.61,0.14,6
12.2,0.6,0.56,0.0,6
10.9,1.58,0.4,0.0,3
12.5,0.645,0.61,0.0,6
11.7,0.86,0.74,0.07,6
11.2,0.37,0.8,0.32,6
11.2,0.28,0.66,0.44,5
9.2,0.79,0.44,0.21,5
9.8,0.61,0.53,0.26,5
10.1,0.69,0.62,0.32,5
11.1,0.68,0.52,0.09,4
10.1,0.69,0.62,0.32,5
9.2,0.62,0.61,0.1,5
9.8,0.61,0.53,0.26,5
12.8,0.51,0.59,0.15,6
10.5,1.18,0.47,0.21,5
10.1,0.36,0.54,0.21,6
10.1,0.36,0.53,0.21,6
9.8,0.63,0.58,0.27,6
12.5,0.74,0.59,0.0,6
11.9,0.44,0.69,0.46,6
9.8,0.63,0.58,0.27,6
9.1,0.76,1.33,0.68,6
10.1,0.66,0.66,0.34,5
12.5,0.74,0.59,0.0,6
11.4,0.34,0.55,0.42,5
11.0,0.36,0.82,0.39,7
10.6,0.46,0.6,0.24,6
10.6,0.46,0.6,0.24,6
10.6,0.46,0.6,0.24,6
10.6,0.46,0.6,0.24,6
9.3,0.52,0.52,0.11,5
9.8,0.6,0.56,0.26,6
9.8,0.6,0.56,0.26,6
9.2,0.87,0.46,0.26,5
9.7,0.39,0.43,0.1,6
9.6,0.775,0.51,0.22,5
10.0,0.835,0.52,0.0,5
12.6,0.58,0.66,0.02,6
9.5,0.5,0.45,0.0,5
9.5,0.5,0.45,0.0,5
9.5,0.5,0.45,0.0,5
10.5,0.51,0.54,0.02,6
10.5,0.51,0.54,0.02,6
10.5,0.51,0.54,0.02,6
10.4,0.54,0.51,0.02,6
10.5,0.51,0.54,0.02,6
11.0,0.42,0.53,0.48,5
10.2,0.44,0.53,0.24,6
11.4,0.59,0.56,0.01,5
9.5,0.655,0.39,0.03,5
9.5,0.655,0.39,0.03,5
10.8,0.57,0.52,0.0,5
10.0,0.6,0.57,0.29,5
11.8,0.62,0.51,0.01,6
10.3,0.645,0.46,0.03,5
10.3,0.645,0.46,0.03,5
10.0,0.58,0.52,0.03,5
10.1,0.32,0.44,0.25,5
10.1,0.34,0.44,0.25,5
11.1,0.43,0.59,0.24,6
9.5,0.64,0.5,0.17,5
10.0333333333333,0.475,0.65,0.4,6
10.9,0.54,0.56,0.31,5
10.1,0.85,0.54,0.14,5
10.0333333333333,0.475,0.65,0.4,6
9.8,0.83,0.48,0.27,4
11.8,0.605,0.53,0.02,6
9.5,0.5,0.62,0.09,5
9.8,0.74,0.5,0.08,5
10.5,0.54,1.18,0.3,6
9.8,0.77,0.5,0.32,6
10.4,0.61,0.37,0.0,4
9.2,0.78,1.17,0.51,5
11.6,0.58,1.03,0.56,6
9.2,0.78,1.17,0.51,5
9.3,0.75,0.45,0.27,5
9.8,0.815,0.51,0.0,3
9.9,0.56,0.52,0.26,5
10.0,0.885,0.46,0.2,5
12.2,0.49,0.62,0.26,6
9.9,0.45,0.51,0.15,6
10.8,0.57,0.62,0.02,6
10.8,0.57,0.62,0.02,6
9.6,0.83,0.45,0.09,5
9.9,0.6,0.49,0.22,5
9.9,0.6,0.49,0.22,5
9.5,0.755,0.5,0.15,5
9.2,0.81,0.42,0.25,5
9.6,0.64,0.58,0.07,5
9.6,0.64,0.58,0.07,5
10.3,0.64,0.68,0.31,5
9.7,0.48,0.53,0.02,5
12.5,0.49,0.59,0.0,6
11.0,0.64,0.58,0.22,5
9.8,0.62,0.48,0.06,5
10.2,0.52,0.48,0.25,5
9.2,0.57,0.48,0.14,5
9.55,0.685,0.65,0.1,6
9.55,0.675,0.65,0.1,5
9.9,0.59,0.52,0.26,5
10.2,0.6,0.62,0.12,7
11.1,0.67,0.72,0.0,6
9.9,0.69,0.51,0.21,5
9.9,0.69,0.51,0.21,5
11.9,0.3,0.82,0.42,6
10.0,0.33,1.1,0.33,8
10.7,0.5,0.62,0.39,6
11.3,0.28,0.9,0.3,7
10.9,0.24,0.94,0.34,6
10.7,0.51,0.93,0.0,6
12.4,0.29,1.01,0.36,7
10.7,0.51,0.93,0.0,6
11.9,0.96,0.44,0.0,6
10.6,0.47,0.73,0.4,6
10.9,0.24,0.94,0.34,6
10.1,0.57,0.9,0.25,5
9.6,0.32,0.78,0.59,5
9.4,0.58,0.84,0.0,5
9.6,0.32,0.78,0.59,5
12.1,0.34,0.77,0.33,7
9.8,0.53,0.46,0.01,5
9.9,0.64,0.45,0.21,5
9.8,0.53,0.46,0.01,5
9.4,0.4,0.58,0.18,5
11.4,0.54,0.84,0.0,6
11.0,0.53,0.67,0.09,4
9.6,0.26,0.7,0.37,6
9.6,0.26,0.7,0.37,6
12.1,0.23,0.71,0.37,6
11.2,0.41,0.58,0.33,5
11.0,0.64,0.63,0.0,5
11.3,0.18,0.93,0.4,5
10.4,0.41,0.62,0.24,5
9.9,0.43,0.54,0.31,6
11.7,0.44,0.85,0.0,6
10.1,0.4,0.74,0.16,7
9.0,0.54,0.77,0.37,6
9.0,0.54,0.77,0.37,6
8.5,0.38,0.65,0.38,5
11.1,0.915,0.54,0.29,5
10.3,0.59,0.47,0.0,5
11.066666666666698,0.67,0.68,0.02,6
11.3,0.37,0.73,0.32,7
9.56666666666667,0.785,0.52,0.19,6
9.8,0.63,0.75,0.02,5
11.7,0.58,0.49,0.2,5
11.1,0.67,0.68,0.02,6
9.6,0.785,0.52,0.19,6
9.8,0.63,0.75,0.02,5
9.7,0.67,0.74,0.0,5
9.7,0.58,0.73,0.01,5
11.3,0.38,0.76,0.31,8
11.3,0.37,0.73,0.32,7
11.0,0.32,0.78,0.44,7
11.6,0.58,0.76,0.02,7
9.0,0.49,0.58,0.33,5
10.9,0.45,0.69,0.63,6
10.9,0.9,0.63,0.0,6
10.55,0.54,0.5,0.06,6
9.0,0.49,0.58,0.33,5
10.5,0.29,0.6,0.4,5
11.9,0.2,0.8,0.35,7
10.4,0.42,0.68,0.09,6
10.0,0.785,0.61,0.0,4
10.4,0.64,0.58,0.03,6
10.8,0.63,0.53,0.01,6
9.7,0.59,0.67,0.1,5
9.7,0.59,0.67,0.1,5
10.0,0.48,0.65,0.32,7
11.0,1.04,0.57,0.08,4
10.0,0.48,0.65,0.32,7
9.7,0.98,0.55,0.05,3
9.7,0.69,0.47,0.11,5
12.6,0.7,0.52,0.08,5
11.1,0.35,0.79,0.6,6
11.0,0.6,0.54,0.08,5
8.8,0.5,0.75,0.5,5
13.566666666666698,0.47,0.88,0.11,7
8.8,0.5,0.75,0.5,5
13.6,0.47,0.88,0.11,7
10.2,0.875,0.52,0.05,3
10.6,0.28,0.68,0.6,5
10.1,0.62,0.62,0.03,4
10.6,0.28,0.68,0.6,5
10.3,0.58,0.57,0.54,4
10.7,0.33,0.61,0.44,5
10.9,0.91,0.64,0.06,4
9.7,0.655,0.55,0.16,5
10.3,0.68,0.6,0.21,5
10.6,0.64,0.78,0.05,5
11.4,0.54,0.58,0.04,5
10.8,0.57,0.76,0.1,6
12.4,0.22,0.56,0.49,6
11.4,0.54,0.58,0.04,5
11.95,0.65,0.54,0.06,5
9.7,0.54,0.59,0.26,5
10.0,0.31,0.7,0.09,7
10.6,0.43,0.81,0.02,6
9.7,0.54,0.59,0.26,5
11.5,0.74,0.63,0.03,6
10.8,0.895,0.58,0.04,6
11.5,0.74,0.63,0.03,6
9.6,0.725,0.53,0.04,5
9.4,0.82,0.53,0.29,5
9.8,0.585,0.54,0.18,5
11.0,0.44,0.69,0.39,6
11.4,0.38,0.55,0.57,6
9.95,0.76,0.63,0.02,3
10.8,0.81,0.66,0.05,6
11.4,0.38,0.55,0.57,6
10.6,0.27,0.72,0.6,6
11.1,0.18,0.7,0.4,5
9.7,0.36,0.77,0.21,6
9.8,0.69,0.67,0.04,5
10.4,0.79,0.65,0.04,6
10.5,0.56,0.6,0.15,6
9.23333333333333,0.84,0.72,0.21,6
9.25,0.84,0.72,0.21,6
10.6,0.32,0.97,0.25,5
10.3,0.53,0.83,0.06,6
10.5,0.47,0.63,0.46,5
10.2,0.7,0.58,0.08,5
10.3,0.53,0.83,0.06,6
9.05,0.48,0.43,0.2,4
10.6,0.32,0.97,0.25,5
10.4,0.48,0.6,0.25,5
10.0,0.42,0.78,0.19,6
9.7,0.48,0.64,0.08,5
9.6,0.47,0.65,0.08,6
10.8,0.53,0.66,0.07,6
10.1,0.29,0.67,0.49,6
10.2,0.69,0.6,0.08,6
11.3,0.44,0.69,0.09,6
10.2,0.705,0.66,0.1,5
9.9,0.53,0.68,0.13,6
9.0,0.39,0.61,0.3,5
11.7,0.56,0.62,0.14,7
9.7,0.55,0.59,0.13,6
10.3,0.53,0.68,0.08,6
10.2,0.58,0.64,0.08,6
12.0,0.64,0.63,0.09,5
9.9,0.39,0.78,0.32,5
11.6,0.52,0.63,0.08,6
10.9,0.25,0.76,0.29,7
10.75,0.855,0.56,0.02,6
10.4,0.44,0.57,0.42,6
11.2,0.37,0.81,0.43,7
10.1,0.63,0.64,0.33,6
10.2,0.57,0.61,0.02,5
12.1,0.6,0.51,0.1,5
